action_id,call_id,priority,owner,stage,action,artifact,success_metric,next_click
P5-A3,P5,3,industrial biotech desk,outreach,"Send the thesis-specific email and ask if this decision is active: Map every synthesis procurement path and require provider attestations, customer screening, record retention, and AI-resilient sequence/function screening before expanding automated biology workflows.",sales_sequences.md,"One reply, intro, or explicit rejection logged.",sales_sequences.md
P5-A4,P5,4,industrial biotech desk,package,Turn this call into a paid pilot wedge if the buyer confirms the decision is active.,offer_ladder.md,"Pilot scope selected: board, watchlist refresh, decision memo, or API feed.",offer_ladder.md
P5-A5,P5,5,industrial biotech desk,score,Preserve the exact clause for scoring by 2030-12-31.,scorecard.jsonl,Resolution question remains unchanged and scoreable.,scorecard.jsonl
P6-A1,P6,1,R&D and autonomous science desk,verify,"Check whether the first watch signal has moved: Watch pharma BD language for acquisitions or collaborations where the named asset is a human perturbation atlas, organoid atlas, spatial atlas, or virtual-cell training dataset.",watchlist.csv,"Signal status set to unchanged, strengthened, weakened, killed, or resolved.",watchlist.csv
P6-A2,P6,2,R&D and autonomous science desk,buyer,Map the exposed buyer to one live decision: Business-development teams prioritize partnerships and acquisitions around human perturbation atlases rather than model architecture alone.,buyer_action_sheets.md,"One named buyer role, one budget, one decision date.",buyer_action_sheets.md
P6-A3,P6,3,R&D and autonomous science desk,outreach,"Send the thesis-specific email and ask if this decision is active: Treat causal perturbation data as the asset, not a support function: secure tissue access, assay rights, metadata standards, and longitudinal phenotype linkage.",sales_sequences.md,"One reply, intro, or explicit rejection logged.",sales_sequences.md
P6-A4,P6,4,R&D and autonomous science desk,package,Turn this call into a paid pilot wedge if the buyer confirms the decision is active.,offer_ladder.md,"Pilot scope selected: board, watchlist refresh, decision memo, or API feed.",offer_ladder.md
P6-A5,P6,5,R&D and autonomous science desk,score,Preserve the exact clause for scoring by 2033-12-31.,scorecard.jsonl,Resolution question remains unchanged and scoreable.,scorecard.jsonl
P7-A1,P7,1,AI infrastructure and power desk,verify,"Check whether the first watch signal has moved: Watch NERC, FERC, ERCOT, PJM, and utility filings for mandatory dynamic models, ride-through rules, or BESS/grid-support requirements for data centers above 100 MW.",watchlist.csv,"Signal status set to unchanged, strengthened, weakened, killed, or resolved.",watchlist.csv
P7-A2,P7,2,AI infrastructure and power desk,buyer,Map the exposed buyer to one live decision: Data-center capex moves from lowest-cost megawatts toward interconnection-ready power architecture and utility-approved operating behavior.,buyer_action_sheets.md,"One named buyer role, one budget, one decision date.",buyer_action_sheets.md
P7-A3,P7,3,AI infrastructure and power desk,outreach,"Send the thesis-specific email and ask if this decision is active: Add dynamic-load modeling, ride-through design, battery smoothing, and grid-support capabilities to site selection before committing to land or power contracts.",sales_sequences.md,"One reply, intro, or explicit rejection logged.",sales_sequences.md
P7-A4,P7,4,AI infrastructure and power desk,package,Turn this call into a paid pilot wedge if the buyer confirms the decision is active.,offer_ladder.md,"Pilot scope selected: board, watchlist refresh, decision memo, or API feed.",offer_ladder.md
P7-A5,P7,5,AI infrastructure and power desk,score,Preserve the exact clause for scoring by 2033-12-31.,scorecard.jsonl,Resolution question remains unchanged and scoreable.,scorecard.jsonl
P8-A1,P8,1,AI infrastructure and power desk,verify,"Check whether the first watch signal has moved: Watch >100 MW AI-campus announcements for WUE targets, reclaimed-water agreements, district-heat offtake, and local moratoria tied to water or heat.",watchlist.csv,"Signal status set to unchanged, strengthened, weakened, killed, or resolved.",watchlist.csv
P8-A2,P8,2,AI infrastructure and power desk,buyer,"Map the exposed buyer to one live decision: Site acquisition and power procurement decisions add heat/water rights as first-order diligence, not late-stage sustainability checks.",buyer_action_sheets.md,"One named buyer role, one budget, one decision date.",buyer_action_sheets.md
P8-A3,P8,3,AI infrastructure and power desk,outreach,"Send the thesis-specific email and ask if this decision is active: Screen AI-campus sites for reclaimed-water access, heat offtake, district-energy adjacency, dry-cooling feasibility, thermal permits, and community opposition before land banking.",sales_sequences.md,"One reply, intro, or explicit rejection logged.",sales_sequences.md
P8-A4,P8,4,AI infrastructure and power desk,package,Turn this call into a paid pilot wedge if the buyer confirms the decision is active.,offer_ladder.md,"Pilot scope selected: board, watchlist refresh, decision memo, or API feed.",offer_ladder.md
P8-A5,P8,5,AI infrastructure and power desk,score,Preserve the exact clause for scoring by 2032-12-31.,scorecard.jsonl,Resolution question remains unchanged and scoreable.,scorecard.jsonl
