id,src,dst,rel,confidence,verification_status,rationale
e-n-constraint-contiguous-land-fiber-proximity-behind-the-meter-firm-generation-ri-dd8fb20e,n-constraint-contiguous-land-fiber-proximity-behind-the-meter-firm-generation-righ-ced7941b,n-constraint-the-next-constraint-moves-to-drilling-capacity-high-voltage-equipment-6742ca22,migrates_to,0.55,derived_from_board,The thesis says this constraint creates a next constraint.
e-n-thesis-p1-the-ai-frontier-moves-from-model-access-to-firm-power-siting-b3db70c-a8be82ae,n-thesis-p1-the-ai-frontier-moves-from-model-access-to-firm-power-siting-b3db70cf,n-price-channel-power-secured-land-options-behind-the-meter-ppas-geothermal-develo-8b047c51,reprices,0.55,derived_from_board,Derived from implications.reprices.
e-n-thesis-p1-the-ai-frontier-moves-from-model-access-to-firm-power-siting-b3db70c-82b4592d,n-thesis-p1-the-ai-frontier-moves-from-model-access-to-firm-power-siting-b3db70cf,n-action-data-center-site-selection-ppa-strategy-power-development-partnerships-ca-8454863b,changes_decision,0.55,derived_from_board,Derived from implications.decision_changed.
e-n-thesis-p1-the-ai-frontier-moves-from-model-access-to-firm-power-siting-b3db70c-fc42e049,n-thesis-p1-the-ai-frontier-moves-from-model-access-to-firm-power-siting-b3db70cf,n-action-a-site-that-energizes-12-to-24-months-earlier-can-be-worth-more-than-a-ch-719c385a,justified_by_roi,0.55,derived_from_board,Derived from implications.roi_logic.
e-n-thesis-p1-the-ai-frontier-moves-from-model-access-to-firm-power-siting-b3db70c-613ee922,n-thesis-p1-the-ai-frontier-moves-from-model-access-to-firm-power-siting-b3db70cf,n-forecast-clause-the-ai-frontier-moves-from-model-access-to-firm-power-siting-94c415a1,states_forecast,0.9,derived_from_board,This thesis states a scored forecast clause.
e-n-forecast-clause-the-ai-frontier-moves-from-model-access-to-firm-power-siting-9-ba1b9a6a,n-forecast-clause-the-ai-frontier-moves-from-model-access-to-firm-power-siting-94c415a1,n-constraint-contiguous-land-fiber-proximity-behind-the-meter-firm-generation-righ-ced7941b,conditional_on_constraint,0.75,derived_from_board,The forecast depends on this constraint being binding.
e-n-forecast-clause-the-ai-frontier-moves-from-model-access-to-firm-power-siting-9-eafcac84,n-forecast-clause-the-ai-frontier-moves-from-model-access-to-firm-power-siting-94c415a1,n-metric-track-hyperscaler-and-data-center-developer-announcements-that-name-on-si-f5493b8f,scored_by,0.85,derived_from_board,The forecast is scored through this metric.
e-n-domain-what-comes-next-after-ai-093b9fee-contains-thesis-n-thesis-p2-physical-5dd5b38c,n-domain-what-comes-next-after-ai-093b9fee,n-thesis-p2-physical-ai-s-bottleneck-is-certified-deployment-not-robot-bodies-1a122ecc,contains_thesis,0.9,derived_from_board,The board domain contains this forecast thesis.
e-n-source-research-pope-after-ai-2026-06-17-json-afabfe46-states-n-thesis-p2-phys-97855761,n-source-research-pope-after-ai-2026-06-17-json-afabfe46,n-thesis-p2-physical-ai-s-bottleneck-is-certified-deployment-not-robot-bodies-1a122ecc,states,1.0,derived_from_board,The source board states this thesis.
e-n-thesis-p2-physical-ai-s-bottleneck-is-certified-deployment-not-robot-bodies-1a-99400dba,n-thesis-p2-physical-ai-s-bottleneck-is-certified-deployment-not-robot-bodies-1a122ecc,n-constraint-verified-task-data-sim-to-real-validation-workcell-commissioning-safe-1f01fc96,identifies_constraint,0.7,derived_from_board,The thesis claims this is the binding constraint.
e-n-thesis-p2-physical-ai-s-bottleneck-is-certified-deployment-not-robot-bodies-1a-4c87d2fc,n-thesis-p2-physical-ai-s-bottleneck-is-certified-deployment-not-robot-bodies-1a122ecc,n-metric-track-robot-oems-or-large-integrators-selling-task-libraries-simulation-v-3d361480,resolved_by,0.8,derived_from_board,The forecast clause resolves through this metric.
e-n-constraint-verified-task-data-sim-to-real-validation-workcell-commissioning-sa-2944e098,n-constraint-verified-task-data-sim-to-real-validation-workcell-commissioning-safe-1f01fc96,n-metric-track-robot-oems-or-large-integrators-selling-task-libraries-simulation-v-3d361480,observed_by,0.65,derived_from_board,This metric is an observable proxy for the constraint.
e-n-thesis-p2-physical-ai-s-bottleneck-is-certified-deployment-not-robot-bodies-1a-108f444a,n-thesis-p2-physical-ai-s-bottleneck-is-certified-deployment-not-robot-bodies-1a122ecc,n-kill-condition-kill-if-by-end-2028-humanoid-or-mobile-manipulation-deployments-s-775de1ac,falsified_by,0.9,derived_from_board,This condition kills or falsifies the thesis.
e-n-thesis-p2-physical-ai-s-bottleneck-is-certified-deployment-not-robot-bodies-1a-5c2e2917,n-thesis-p2-physical-ai-s-bottleneck-is-certified-deployment-not-robot-bodies-1a122ecc,n-price-channel-robotics-platform-hype-is-visible-in-private-valuations-and-public-0bf2bb56,priced_through,0.65,derived_from_board,The pricing gate should inspect this channel.
e-n-thesis-p2-physical-ai-s-bottleneck-is-certified-deployment-not-robot-bodies-1a-bb72d7d7,n-thesis-p2-physical-ai-s-bottleneck-is-certified-deployment-not-robot-bodies-1a122ecc,n-buyer-segment-manufacturing-coos-logistics-operators-industrial-automation-integ-82ce522a,exposes,0.65,derived_from_board,This buyer or operator is exposed to the forecast.
e-n-thesis-p2-physical-ai-s-bottleneck-is-certified-deployment-not-robot-bodies-1a-09f98989,n-thesis-p2-physical-ai-s-bottleneck-is-certified-deployment-not-robot-bodies-1a122ecc,n-action-inventory-repeatable-tasks-by-commissioning-burden-and-safety-risk-struct-8215d5fd,changes_action,0.65,derived_from_board,"If the thesis is right, this action changes now."
e-n-thesis-p2-physical-ai-s-bottleneck-is-certified-deployment-not-robot-bodies-1a-40f22aaa,n-thesis-p2-physical-ai-s-bottleneck-is-certified-deployment-not-robot-bodies-1a122ecc,n-observable-a-major-automotive-or-logistics-deployment-where-the-press-release-na-fbf34b88,watched_by,0.75,derived_from_board,This is the earliest observable signal to monitor.
e-n-constraint-verified-task-data-sim-to-real-validation-workcell-commissioning-sa-1e05ed2a,n-constraint-verified-task-data-sim-to-real-validation-workcell-commissioning-safe-1f01fc96,n-observable-a-major-automotive-or-logistics-deployment-where-the-press-release-na-fbf34b88,emits_signal,0.65,derived_from_board,The constraint should emit this signal if the thesis is becoming true.
e-n-thesis-p2-physical-ai-s-bottleneck-is-certified-deployment-not-robot-bodies-1a-a2889b8c,n-thesis-p2-physical-ai-s-bottleneck-is-certified-deployment-not-robot-bodies-1a122ecc,n-winner-nvidia-isaac-cosmos-style-simulation-ecosystems-80c6301a,creates_winner,0.55,derived_from_board,The thesis names this winner: They sit in the validation path between robot policy training and real-world deployment.
e-n-thesis-p2-physical-ai-s-bottleneck-is-certified-deployment-not-robot-bodies-1a-7b14d170,n-thesis-p2-physical-ai-s-bottleneck-is-certified-deployment-not-robot-bodies-1a122ecc,n-winner-industrial-integrators-with-reusable-task-libraries-b6716709,creates_winner,0.55,derived_from_board,The thesis names this winner: They turn one-off commissioning labor into repeatable software-enabled deployment.
e-n-thesis-p2-physical-ai-s-bottleneck-is-certified-deployment-not-robot-bodies-1a-1b813030,n-thesis-p2-physical-ai-s-bottleneck-is-certified-deployment-not-robot-bodies-1a122ecc,n-winner-manufacturers-with-clean-process-data-and-standardized-workcells-c37f1096,creates_winner,0.55,derived_from_board,The thesis names this winner: They become easier customers and capture automation ROI earlier.
e-n-thesis-p2-physical-ai-s-bottleneck-is-certified-deployment-not-robot-bodies-1a-fec223cd,n-thesis-p2-physical-ai-s-bottleneck-is-certified-deployment-not-robot-bodies-1a122ecc,n-loser-undifferentiated-humanoid-oems-0d07ea65,creates_loser,0.55,derived_from_board,The thesis names this loser: Hardware demos do not create durable margin if deployment assurance is owned elsewhere.
e-n-thesis-p2-physical-ai-s-bottleneck-is-certified-deployment-not-robot-bodies-1a-8c9a3067,n-thesis-p2-physical-ai-s-bottleneck-is-certified-deployment-not-robot-bodies-1a122ecc,n-loser-custom-only-automation-integrators-72a805b5,creates_loser,0.55,derived_from_board,The thesis names this loser: Reusable task libraries and simulation reduce the value of bespoke labor.
e-n-thesis-p2-physical-ai-s-bottleneck-is-certified-deployment-not-robot-bodies-1a-812642af,n-thesis-p2-physical-ai-s-bottleneck-is-certified-deployment-not-robot-bodies-1a122ecc,n-constraint-rent-flows-to-simulation-and-validation-platforms-robot-integrators-w-ee2a77d2,moves_rent_to,0.55,derived_from_board,Derived from implications.rent_path.
e-n-thesis-p2-physical-ai-s-bottleneck-is-certified-deployment-not-robot-bodies-1a-b698b31f,n-thesis-p2-physical-ai-s-bottleneck-is-certified-deployment-not-robot-bodies-1a122ecc,n-constraint-the-next-constraint-becomes-high-quality-real-world-task-data-tactile-762add0c,creates_next_constraint,0.55,derived_from_board,Derived from implications.next_constraint.
e-n-constraint-verified-task-data-sim-to-real-validation-workcell-commissioning-sa-dd39509c,n-constraint-verified-task-data-sim-to-real-validation-workcell-commissioning-safe-1f01fc96,n-constraint-the-next-constraint-becomes-high-quality-real-world-task-data-tactile-762add0c,migrates_to,0.55,derived_from_board,The thesis says this constraint creates a next constraint.
e-n-thesis-p2-physical-ai-s-bottleneck-is-certified-deployment-not-robot-bodies-1a-2ad88b7d,n-thesis-p2-physical-ai-s-bottleneck-is-certified-deployment-not-robot-bodies-1a122ecc,n-price-channel-physical-ai-valuation-should-migrate-from-unit-shipments-to-deploy-e5cd43e2,reprices,0.55,derived_from_board,Derived from implications.reprices.
e-n-thesis-p2-physical-ai-s-bottleneck-is-certified-deployment-not-robot-bodies-1a-945f288b,n-thesis-p2-physical-ai-s-bottleneck-is-certified-deployment-not-robot-bodies-1a122ecc,n-action-automation-capex-integrator-selection-pilot-design-safety-certification-b-7942dd95,changes_decision,0.55,derived_from_board,Derived from implications.decision_changed.
e-n-thesis-p2-physical-ai-s-bottleneck-is-certified-deployment-not-robot-bodies-1a-f18a62b7,n-thesis-p2-physical-ai-s-bottleneck-is-certified-deployment-not-robot-bodies-1a122ecc,n-action-a-robot-that-takes-six-months-of-integration-labor-to-deliver-a-narrow-ta-0676de7c,justified_by_roi,0.55,derived_from_board,Derived from implications.roi_logic.
e-n-thesis-p2-physical-ai-s-bottleneck-is-certified-deployment-not-robot-bodies-1a-d386e672,n-thesis-p2-physical-ai-s-bottleneck-is-certified-deployment-not-robot-bodies-1a122ecc,n-forecast-clause-physical-ai-s-bottleneck-is-certified-deployment-not-robot-bodie-5d45981f,states_forecast,0.9,derived_from_board,This thesis states a scored forecast clause.
e-n-forecast-clause-physical-ai-s-bottleneck-is-certified-deployment-not-robot-bod-e93793d8,n-forecast-clause-physical-ai-s-bottleneck-is-certified-deployment-not-robot-bodie-5d45981f,n-constraint-verified-task-data-sim-to-real-validation-workcell-commissioning-safe-1f01fc96,conditional_on_constraint,0.75,derived_from_board,The forecast depends on this constraint being binding.
e-n-forecast-clause-physical-ai-s-bottleneck-is-certified-deployment-not-robot-bod-cc3c00ed,n-forecast-clause-physical-ai-s-bottleneck-is-certified-deployment-not-robot-bodie-5d45981f,n-metric-track-robot-oems-or-large-integrators-selling-task-libraries-simulation-v-3d361480,scored_by,0.85,derived_from_board,The forecast is scored through this metric.
e-n-domain-what-comes-next-after-ai-093b9fee-contains-thesis-n-thesis-p3-autonomou-1167821d,n-domain-what-comes-next-after-ai-093b9fee,n-thesis-p3-autonomous-science-shifts-the-bottleneck-from-model-discovery-to-exper-2d0ad3e9,contains_thesis,0.9,derived_from_board,The board domain contains this forecast thesis.
e-n-source-research-pope-after-ai-2026-06-17-json-afabfe46-states-n-thesis-p3-auto-43f2eb0b,n-source-research-pope-after-ai-2026-06-17-json-afabfe46,n-thesis-p3-autonomous-science-shifts-the-bottleneck-from-model-discovery-to-exper-2d0ad3e9,states,1.0,derived_from_board,The source board states this thesis.
e-n-thesis-p3-autonomous-science-shifts-the-bottleneck-from-model-discovery-to-exp-06e0fb4b,n-thesis-p3-autonomous-science-shifts-the-bottleneck-from-model-discovery-to-exper-2d0ad3e9,n-constraint-robotic-experimental-throughput-with-standardized-metadata-reliable-a-6881a685,identifies_constraint,0.7,derived_from_board,The thesis claims this is the binding constraint.
e-n-thesis-p3-autonomous-science-shifts-the-bottleneck-from-model-discovery-to-exp-a010c3fb,n-thesis-p3-autonomous-science-shifts-the-bottleneck-from-model-discovery-to-exper-2d0ad3e9,n-metric-track-doe-and-national-lab-testbed-awards-pharma-materials-partnerships-t-629546ac,resolved_by,0.8,derived_from_board,The forecast clause resolves through this metric.
e-n-constraint-robotic-experimental-throughput-with-standardized-metadata-reliable-211d0be4,n-constraint-robotic-experimental-throughput-with-standardized-metadata-reliable-a-6881a685,n-metric-track-doe-and-national-lab-testbed-awards-pharma-materials-partnerships-t-629546ac,observed_by,0.65,derived_from_board,This metric is an observable proxy for the constraint.
e-n-thesis-p3-autonomous-science-shifts-the-bottleneck-from-model-discovery-to-exp-0ec42d68,n-thesis-p3-autonomous-science-shifts-the-bottleneck-from-model-discovery-to-exper-2d0ad3e9,n-kill-condition-kill-if-by-2029-model-only-ai-discovery-companies-repeatedly-prod-e47c136a,falsified_by,0.9,derived_from_board,This condition kills or falsifies the thesis.
e-n-thesis-p3-autonomous-science-shifts-the-bottleneck-from-model-discovery-to-exp-939f309b,n-thesis-p3-autonomous-science-shifts-the-bottleneck-from-model-discovery-to-exper-2d0ad3e9,n-price-channel-self-driving-lab-companies-and-lab-automation-vendors-are-funded-b-bd615cc4,priced_through,0.65,derived_from_board,The pricing gate should inspect this channel.
e-n-thesis-p3-autonomous-science-shifts-the-bottleneck-from-model-discovery-to-exp-cdca34e1,n-thesis-p3-autonomous-science-shifts-the-bottleneck-from-model-discovery-to-exper-2d0ad3e9,n-buyer-segment-pharma-r-d-leaders-materials-companies-national-labs-ai-for-scienc-1eecff3d,exposes,0.65,derived_from_board,This buyer or operator is exposed to the forecast.
e-n-thesis-p3-autonomous-science-shifts-the-bottleneck-from-model-discovery-to-exp-b084c13b,n-thesis-p3-autonomous-science-shifts-the-bottleneck-from-model-discovery-to-exper-2d0ad3e9,n-action-audit-which-discovery-programs-are-experiment-limited-secure-access-to-ro-d84da1e0,changes_action,0.65,derived_from_board,"If the thesis is right, this action changes now."
e-n-thesis-p3-autonomous-science-shifts-the-bottleneck-from-model-discovery-to-exp-b1045892,n-thesis-p3-autonomous-science-shifts-the-bottleneck-from-model-discovery-to-exper-2d0ad3e9,n-observable-a-major-pharma-chemicals-or-materials-company-publicly-saying-its-ai-185fa04e,watched_by,0.75,derived_from_board,This is the earliest observable signal to monitor.
e-n-constraint-robotic-experimental-throughput-with-standardized-metadata-reliable-f9cc5292,n-constraint-robotic-experimental-throughput-with-standardized-metadata-reliable-a-6881a685,n-observable-a-major-pharma-chemicals-or-materials-company-publicly-saying-its-ai-185fa04e,emits_signal,0.65,derived_from_board,The constraint should emit this signal if the thesis is becoming true.
e-n-thesis-p3-autonomous-science-shifts-the-bottleneck-from-model-discovery-to-exp-9d4c4efc,n-thesis-p3-autonomous-science-shifts-the-bottleneck-from-model-discovery-to-exper-2d0ad3e9,n-winner-doe-and-national-lab-testbed-ecosystems-365a0451,creates_winner,0.55,derived_from_board,The thesis names this winner: They become shared infrastructure for autonomous discovery workflows.
e-n-thesis-p3-autonomous-science-shifts-the-bottleneck-from-model-discovery-to-exp-d811fe27,n-thesis-p3-autonomous-science-shifts-the-bottleneck-from-model-discovery-to-exper-2d0ad3e9,n-winner-autonomous-lab-operators-and-assay-platforms-3d1656dc,creates_winner,0.55,derived_from_board,The thesis names this winner: They own the throughput and data rights needed to make AI-for-science real.
e-n-thesis-p3-autonomous-science-shifts-the-bottleneck-from-model-discovery-to-exp-6a1c7c64,n-thesis-p3-autonomous-science-shifts-the-bottleneck-from-model-discovery-to-exper-2d0ad3e9,n-winner-r-d-teams-with-strong-metadata-discipline-c928f7ca,creates_winner,0.55,derived_from_board,The thesis names this winner: Their experiments become reusable training signal instead of isolated results.
e-n-thesis-p3-autonomous-science-shifts-the-bottleneck-from-model-discovery-to-exp-a8e570b0,n-thesis-p3-autonomous-science-shifts-the-bottleneck-from-model-discovery-to-exper-2d0ad3e9,n-loser-model-only-discovery-startups-a40e7af2,creates_loser,0.55,derived_from_board,"The thesis names this loser: They can propose more than they can validate, making their output easy to discount."
e-n-thesis-p3-autonomous-science-shifts-the-bottleneck-from-model-discovery-to-exp-74e88e17,n-thesis-p3-autonomous-science-shifts-the-bottleneck-from-model-discovery-to-exper-2d0ad3e9,n-loser-manual-cros-without-automation-or-data-standardization-e3e6bd2c,creates_loser,0.55,derived_from_board,The thesis names this loser: They provide services but not compounding machine-readable learning loops.
e-n-thesis-p3-autonomous-science-shifts-the-bottleneck-from-model-discovery-to-exp-b1c9106f,n-thesis-p3-autonomous-science-shifts-the-bottleneck-from-model-discovery-to-exper-2d0ad3e9,n-constraint-rent-lands-in-autonomous-lab-operators-instrument-integration-platfor-93004089,moves_rent_to,0.55,derived_from_board,Derived from implications.rent_path.
e-n-thesis-p3-autonomous-science-shifts-the-bottleneck-from-model-discovery-to-exp-aaa8f931,n-thesis-p3-autonomous-science-shifts-the-bottleneck-from-model-discovery-to-exper-2d0ad3e9,n-constraint-the-next-constraint-becomes-sample-preparation-protocol-ontologies-in-913a3e9f,creates_next_constraint,0.55,derived_from_board,Derived from implications.next_constraint.
e-n-constraint-robotic-experimental-throughput-with-standardized-metadata-reliable-82083bb0,n-constraint-robotic-experimental-throughput-with-standardized-metadata-reliable-a-6881a685,n-constraint-the-next-constraint-becomes-sample-preparation-protocol-ontologies-in-913a3e9f,migrates_to,0.55,derived_from_board,The thesis says this constraint creates a next constraint.
e-n-thesis-p3-autonomous-science-shifts-the-bottleneck-from-model-discovery-to-exp-81d8a137,n-thesis-p3-autonomous-science-shifts-the-bottleneck-from-model-discovery-to-exper-2d0ad3e9,n-price-channel-autonomous-lab-capacity-assay-contracts-and-proprietary-experiment-48e60072,reprices,0.55,derived_from_board,Derived from implications.reprices.
e-n-thesis-p3-autonomous-science-shifts-the-bottleneck-from-model-discovery-to-exp-c2151df1,n-thesis-p3-autonomous-science-shifts-the-bottleneck-from-model-discovery-to-exper-2d0ad3e9,n-action-r-d-budget-allocation-between-foundation-models-lab-automation-assay-capa-3cfb3627,changes_decision,0.55,derived_from_board,Derived from implications.decision_changed.
e-n-thesis-p3-autonomous-science-shifts-the-bottleneck-from-model-discovery-to-exp-939f2877,n-thesis-p3-autonomous-science-shifts-the-bottleneck-from-model-discovery-to-exper-2d0ad3e9,n-action-a-better-model-has-low-roi-if-every-validation-loop-takes-months-shorteni-97d0d5be,justified_by_roi,0.55,derived_from_board,Derived from implications.roi_logic.
e-n-thesis-p3-autonomous-science-shifts-the-bottleneck-from-model-discovery-to-exp-4655ca92,n-thesis-p3-autonomous-science-shifts-the-bottleneck-from-model-discovery-to-exper-2d0ad3e9,n-forecast-clause-autonomous-science-shifts-the-bottleneck-from-model-discovery-to-60c389a9,states_forecast,0.9,derived_from_board,This thesis states a scored forecast clause.
e-n-forecast-clause-autonomous-science-shifts-the-bottleneck-from-model-discovery-24fbe2db,n-forecast-clause-autonomous-science-shifts-the-bottleneck-from-model-discovery-to-60c389a9,n-constraint-robotic-experimental-throughput-with-standardized-metadata-reliable-a-6881a685,conditional_on_constraint,0.75,derived_from_board,The forecast depends on this constraint being binding.
e-n-forecast-clause-autonomous-science-shifts-the-bottleneck-from-model-discovery-f56ff8a2,n-forecast-clause-autonomous-science-shifts-the-bottleneck-from-model-discovery-to-60c389a9,n-metric-track-doe-and-national-lab-testbed-awards-pharma-materials-partnerships-t-629546ac,scored_by,0.85,derived_from_board,The forecast is scored through this metric.
e-n-domain-what-comes-next-after-ai-093b9fee-contains-thesis-n-thesis-p4-the-consu-553f3227,n-domain-what-comes-next-after-ai-093b9fee,n-thesis-p4-the-consumer-ai-interface-moves-to-always-on-edge-devices-gated-by-the-e6198427,contains_thesis,0.9,derived_from_board,The board domain contains this forecast thesis.
e-n-source-research-pope-after-ai-2026-06-17-json-afabfe46-states-n-thesis-p4-the-916e1f6b,n-source-research-pope-after-ai-2026-06-17-json-afabfe46,n-thesis-p4-the-consumer-ai-interface-moves-to-always-on-edge-devices-gated-by-the-e6198427,states,1.0,derived_from_board,The source board states this thesis.
e-n-thesis-p4-the-consumer-ai-interface-moves-to-always-on-edge-devices-gated-by-t-5d14f1ab,n-thesis-p4-the-consumer-ai-interface-moves-to-always-on-edge-devices-gated-by-the-e6198427,n-constraint-low-power-npus-sensor-fusion-local-memory-privacy-preserving-orchestr-5b1cd0e2,identifies_constraint,0.7,derived_from_board,The thesis claims this is the binding constraint.
e-n-thesis-p4-the-consumer-ai-interface-moves-to-always-on-edge-devices-gated-by-t-46fcf0f8,n-thesis-p4-the-consumer-ai-interface-moves-to-always-on-edge-devices-gated-by-the-e6198427,n-metric-track-commercial-devices-that-run-billion-parameter-local-models-all-day-cdb6953f,resolved_by,0.8,derived_from_board,The forecast clause resolves through this metric.
e-n-constraint-low-power-npus-sensor-fusion-local-memory-privacy-preserving-orches-6206d85b,n-constraint-low-power-npus-sensor-fusion-local-memory-privacy-preserving-orchestr-5b1cd0e2,n-metric-track-commercial-devices-that-run-billion-parameter-local-models-all-day-cdb6953f,observed_by,0.65,derived_from_board,This metric is an observable proxy for the constraint.
