fid,N,nq,brier,absdev,beta_fc,se_fc,method,vif,dll,fam
Google.gemini_1p5_flash_scratchpad,567,256,0.18868148500881834,0.24648754697054673,-0.5943716371702978,0.20048995834964808,logit,1.275844453905687,0.009097338711745284,Google.gemini_1p5_flash
Google.gemini_1p5_flash_scratchpad_with_freeze_values,567,256,0.167438360670194,0.17950803546507937,-0.44908923983137405,0.16245447680725822,logit,1.6514299824351497,0.0073024191742477595,Google.gemini_1p5_flash
Google.gemini_1p5_flash_scratchpad_with_news,567,256,0.19033584832451497,0.26328266885978835,0.010093418286843073,0.19777436866108267,logit,1.2946834979898767,2.1412655009163604e-06,Google.gemini_1p5_flash
Google.gemini_1p5_flash_scratchpad_with_news_with_freeze_values,567,256,0.1727396155202822,0.20405539665238095,-0.3341456311398655,0.13360505502762426,logit,1.4833744175013261,0.0036944835346513997,Google.gemini_1p5_flash
Google.gemini_1p5_flash_superforecaster_with_news_1,567,256,0.24413771384479718,0.3052675116202822,-0.2720390485174038,0.11974111282841755,logit,1.103725683825626,0.0032961966737827353,Google.gemini_1p5_flash
Google.gemini_1p5_flash_superforecaster_with_news_2,567,256,0.2363187389770723,0.32204983945202825,-0.35272951891195103,0.20838649981692103,logit,1.101331404757139,0.0022252606137666614,Google.gemini_1p5_flash
Google.gemini_1p5_flash_superforecaster_with_news_3,567,256,0.2099462557319224,0.28580045112151675,-0.10149978175496836,0.17492768469736236,logit,1.2098728637782021,0.00024328258043360707,Google.gemini_1p5_flash
Google.gemini_1p5_flash_zero_shot,567,256,0.20711118342151674,0.25083502413421516,-0.2100377887109534,0.11276779369229888,logit,1.4099288724634258,0.002567676309731134,Google.gemini_1p5_flash
Google.gemini_1p5_flash_zero_shot_with_freeze_values,567,256,0.13228230996083504,0.10707275085432098,-0.1495294138247137,0.1170919795618702,logit,2.60655070535964,0.0014347105490475178,Google.gemini_1p5_flash
Google.gemini_1p5_pro_scratchpad,567,256,0.17002906701940032,0.2457272797567901,0.12137602620080702,0.22072576073135117,logit,1.309871163020826,0.0002956552363878589,Google.gemini_1p5_pro
Google.gemini_1p5_pro_scratchpad_with_freeze_values,567,256,0.14183149735449738,0.17374610730035275,-0.01398365039351063,0.17308458322379583,logit,1.618687163948389,4.427101319207256e-06,Google.gemini_1p5_pro
Google.gemini_1p5_pro_scratchpad_with_news,567,256,0.16497413227513227,0.23135512727072308,0.08193332387836424,0.19248779122778792,logit,1.3523157044857872,0.00015218867305379533,Google.gemini_1p5_pro
Google.gemini_1p5_pro_scratchpad_with_news_with_freeze_values,567,256,0.14492875837742503,0.18445127447848325,-0.045894420276552474,0.1749047955983296,logit,1.6525566484544898,4.2954323047515844e-05,Google.gemini_1p5_pro
Google.gemini_1p5_pro_superforecaster_with_news_1,567,256,0.19018489134038802,0.25287904092222224,0.015365075022538567,0.134322229594198,logit,1.1986027797668775,1.1377405838206516e-05,Google.gemini_1p5_pro
Google.gemini_1p5_pro_superforecaster_with_news_2,567,256,0.20054178395061728,0.2454595892957672,-0.19047039941254276,0.1272444405841255,logit,1.268931137441216,0.002021685354645757,Google.gemini_1p5_pro
Google.gemini_1p5_pro_superforecaster_with_news_3,567,256,0.17299729007830686,0.2475370583902998,0.10221682477406645,0.223559677391548,logit,1.3211658897135499,0.0002236653800434711,Google.gemini_1p5_pro
Google.gemini_1p5_pro_zero_shot,567,256,0.22023174603174606,0.31001968055537915,0.01031235498925071,0.1588381768444246,logit,1.0416317129087882,3.912777042807521e-06,Google.gemini_1p5_pro
Google.gemini_1p5_pro_zero_shot_with_freeze_values,567,256,0.2117687070903124,0.2657474331435626,-0.5896196079837493,0.1927321353355692,logit,1.1065823462546305,0.008810977961139891,Google.gemini_1p5_pro
Meta.llama_2_70b_scratchpad,567,256,0.24101625303534746,0.34154113186719576,-0.31250757592728495,0.21269949026713358,logit,1.0187682185127125,0.0014529306184882964,Meta.llama_2_70b
Meta.llama_2_70b_scratchpad_with_freeze_values,567,256,0.23565800486543986,0.3240290989733686,-0.2636930477832877,0.21270398658608575,logit,1.0492987215679055,0.001911530420634223,Meta.llama_2_70b
Meta.llama_2_70b_zero_shot,567,256,0.3327331609373721,0.43138618733915346,-0.19009248552629468,0.1514711876290677,logit,1.0063826690416124,0.0015384755455105804,Meta.llama_2_70b
Meta.llama_2_70b_zero_shot_with_freeze_values,567,256,0.29314174118183645,0.3327778876650794,-0.3040172035876006,0.10674693392342205,logit,1.0165678426386866,0.00859965580196643,Meta.llama_2_70b
Meta.llama_3_70b_scratchpad,567,256,0.19549771252204587,0.2746095613557319,-0.26358425086728665,0.2090618025244215,logit,1.331553953521045,0.0011380521596826797,Meta.llama_3_70b
Meta.llama_3_70b_scratchpad_with_freeze_values,567,256,0.14818559920634922,0.16644655998959434,-0.43261872425125847,0.17647407438052995,logit,2.053512035423023,0.004471520855351703,Meta.llama_3_70b
Meta.llama_3_70b_zero_shot,567,256,0.16398593121693122,0.2189587996393298,0.039707305546146786,0.16392443380155408,logit,1.5315632903070562,5.737326207588587e-05,Meta.llama_3_70b
Meta.llama_3_70b_zero_shot_with_freeze_values,567,256,0.13822237956070627,0.12480739043456791,-0.22786224056840185,0.1728530393025966,logit,2.492850432352918,0.002027507047898329,Meta.llama_3_70b
Meta.llama_3_8b_scratchpad,567,256,0.2494114307760141,0.34969968864003526,-0.004730240974644379,0.20451176343444524,logit,1.0124216847277046,4.825212436672401e-07,Meta.llama_3_8b
Meta.llama_3_8b_scratchpad_with_freeze_values,567,256,0.2159596471972796,0.28695694241375663,-0.19548785808594166,0.1582171708389505,logit,1.0928589715760173,0.001399356047439575,Meta.llama_3_8b
Meta.llama_3_8b_zero_shot,567,256,0.18636544488536155,0.24981675946119927,0.0665708122267786,0.05250642356057706,logit,1.0320498895776082,0.0005616838127926276,Meta.llama_3_8b
Meta.llama_3_8b_zero_shot_with_freeze_values,567,256,0.1459127723197047,0.18237988099735453,0.03764524758483407,0.08788356062321713,logit,1.3487453625868664,0.00016274610404985046,Meta.llama_3_8b
Mistral AI.mistral_8x22b_instruct_scratchpad,567,256,0.1881434814814815,0.2651347632089947,-0.04007586783834198,0.19281605391135212,logit,1.2006827124376611,3.6363129642497953e-05,Mistral AI.mistral_8x22b_instruct
Mistral AI.mistral_8x22b_instruct_scratchpad_with_freeze_values,567,256,0.1522480501741165,0.18278325420670194,0.04988726786139261,0.1370238905690723,logit,1.4443119438988719,0.00010168893357117259,Mistral AI.mistral_8x22b_instruct
Mistral AI.mistral_8x22b_instruct_scratchpad_with_news,567,256,0.1952356278659612,0.2838244188400353,0.05345975815792124,0.21212162380188979,logit,1.164542383834362,5.3792850116728616e-05,Mistral AI.mistral_8x22b_instruct
Mistral AI.mistral_8x22b_instruct_scratchpad_with_news_with_freeze_values,567,256,0.1916619225866039,0.2556602003746032,-0.14656899673726317,0.1447499687876605,logit,1.2769407960053758,0.0005584671622300532,Mistral AI.mistral_8x22b_instruct
Mistral AI.mistral_8x22b_instruct_superforecaster_with_news_1,567,256,0.1784576121347443,0.24036838713280423,-0.024052474360392102,0.1475106036701294,logit,1.1473120007989241,4.0053031963377675e-05,Mistral AI.mistral_8x22b_instruct
Mistral AI.mistral_8x22b_instruct_superforecaster_with_news_2,567,256,0.2117711437389771,0.29343322340194006,-0.13761048981118387,0.14111517060026768,logit,1.1421949304340333,0.0004550203900796755,Mistral AI.mistral_8x22b_instruct
Mistral AI.mistral_8x22b_instruct_superforecaster_with_news_3,567,256,0.19969975749559085,0.27649032249647265,-0.7435975110329798,0.2522958212593415,logit,1.154258194699081,0.00742711982327651,Mistral AI.mistral_8x22b_instruct
Mistral AI.mistral_8x22b_instruct_zero_shot,567,256,0.18996498052910055,0.2384469786453263,-0.07513931402644125,0.11626851024320577,logit,1.443505168557108,0.0002586266376957976,Mistral AI.mistral_8x22b_instruct
Mistral AI.mistral_8x22b_instruct_zero_shot_with_freeze_values,567,256,0.19370743865095422,0.18917265605731923,-0.274438397203171,0.112488018799108,logit,1.3823742958116187,0.004400577011006881,Mistral AI.mistral_8x22b_instruct
Mistral AI.mistral_8x7b_instruct_scratchpad,567,256,0.22788430335097,0.31909268210705466,0.0069184535945678045,0.20864751193629646,logit,1.149742633875276,9.178957892474478e-07,Mistral AI.mistral_8x7b_instruct
Mistral AI.mistral_8x7b_instruct_scratchpad_with_freeze_values,567,256,0.2246594822148516,0.28798140658730154,-0.09226248267026124,0.14905030022348528,logit,1.2348063406739858,0.00025040722804509427,Mistral AI.mistral_8x7b_instruct
Mistral AI.mistral_8x7b_instruct_scratchpad_with_news,567,256,0.24822698412698413,0.3464655440234568,-0.35462271478171686,0.19752363445118534,logit,1.0432743972689236,0.0013876513547951977,Mistral AI.mistral_8x7b_instruct
Mistral AI.mistral_8x7b_instruct_scratchpad_with_news_with_freeze_values,567,256,0.2499353308439356,0.3397146222419753,-0.4565959245973493,0.2747262822544069,logit,1.0745043464713582,0.003424515465969868,Mistral AI.mistral_8x7b_instruct
Mistral AI.mistral_8x7b_instruct_superforecaster_with_news_1,567,256,0.2486522106878307,0.3438051496541446,-0.08005139076214629,0.17842656123103431,logit,1.0289582114321152,0.00019677421443030675,Mistral AI.mistral_8x7b_instruct
Mistral AI.mistral_8x7b_instruct_superforecaster_with_news_2,567,256,0.2656679004067177,0.3722593843432098,0.45671509372199004,0.25155916474518286,logit,1.0334030671693961,0.0023445752098091716,Mistral AI.mistral_8x7b_instruct
Mistral AI.mistral_8x7b_instruct_superforecaster_with_news_3,567,256,0.2508864638447972,0.3568998000548501,-0.1299535482689146,0.3683013562851047,logit,1.053549287457742,0.00012361811344768975,Mistral AI.mistral_8x7b_instruct
Mistral AI.mistral_8x7b_instruct_zero_shot,567,256,0.20633066534391534,0.25555292320652556,0.0010775286463917198,0.06555441771690171,logit,1.081149667638944,1.3361129863325458e-07,Mistral AI.mistral_8x7b_instruct
Mistral AI.mistral_8x7b_instruct_zero_shot_with_freeze_values,567,256,0.15433830037839996,0.1485003600606702,-0.06153624714665663,0.07874472793166637,logit,1.7045050684803111,0.00038649718553334967,Mistral AI.mistral_8x7b_instruct
Mistral AI.mistral_large_scratchpad,567,256,0.19199445546737215,0.27301783074021163,-0.10632483795820008,0.22711449065128633,logit,1.2694734406011179,0.0001907872817730429,Mistral AI.mistral_large
Mistral AI.mistral_large_scratchpad_with_freeze_values,567,256,0.15131679571641313,0.1871232380488536,-0.2421340365696573,0.18484543866127476,logit,1.666745675963718,0.0015360655735847492,Mistral AI.mistral_large
Mistral AI.mistral_large_scratchpad_with_news,567,256,0.2210295524691358,0.31440178392857143,0.018280594919672426,0.1915828435863184,logit,1.1909055638656816,6.134837321516538e-06,Mistral AI.mistral_large
Mistral AI.mistral_large_scratchpad_with_news_with_freeze_values,567,256,0.2142528386243386,0.2827964204626102,-0.3344719731148961,0.1831335509327231,logit,1.228580547957722,0.002387711613496755,Mistral AI.mistral_large
Mistral AI.mistral_large_superforecaster_with_news_1,567,256,0.21730544624779538,0.2690119275155203,-0.22941753683859584,0.12938643351121942,logit,1.1047069953884268,0.0023323281478360392,Mistral AI.mistral_large
Mistral AI.mistral_large_superforecaster_with_news_2,567,256,0.2420783454850088,0.30250948409894174,-0.5347002744399012,0.16405131388832084,logit,1.128302544643063,0.009814606713534433,Mistral AI.mistral_large
Mistral AI.mistral_large_superforecaster_with_news_3,567,256,0.2316064942680776,0.3119929708202822,-0.3579902437108515,0.19755276820351683,logit,1.183585176940491,0.0025119089332593545,Mistral AI.mistral_large
Mistral AI.mistral_large_zero_shot,567,256,0.20386731746031747,0.2677681447825397,-0.10461211205103804,0.14992542035641027,logit,1.2856443960650716,0.0004028470173198177,Mistral AI.mistral_large
Mistral AI.mistral_large_zero_shot_with_freeze_values,567,256,0.16242131964339795,0.15462188617724867,-0.33034764512254366,0.16289166623484266,logit,1.9386222415456305,0.004523574001358197,Mistral AI.mistral_large
OpenAI.gpt_3p5_turbo_0125_scratchpad,567,256,0.28111552028218695,0.38751952822451496,0.15636128001834396,0.23677638502372733,logit,1.0316882407589816,0.00032821008709859234,OpenAI.gpt_3p5_turbo_0125
OpenAI.gpt_3p5_turbo_0125_scratchpad_with_freeze_values,567,256,0.276831746031746,0.37548830561358026,-0.1163810464941512,0.22850084355059283,logit,1.0441111536246073,0.00015650467985724222,OpenAI.gpt_3p5_turbo_0125
OpenAI.gpt_3p5_turbo_0125_zero_shot,567,256,0.33832486948853613,0.41311164290317465,0.0758436874720537,0.21977013919641808,logit,1.135314973686898,0.00011173759335000607,OpenAI.gpt_3p5_turbo_0125
OpenAI.gpt_3p5_turbo_0125_zero_shot_with_freeze_values,567,256,0.25290220699873134,0.26290440116243385,-0.034849949723376385,0.1308729038687537,logit,1.4515604900417896,7.237449490933709e-05,OpenAI.gpt_3p5_turbo_0125
OpenAI.gpt_4_scratchpad,567,256,0.1626100564373898,0.23950821021640212,0.2809583693547991,0.23466761831234476,logit,1.3285928176644048,0.0014854775134207933,OpenAI.gpt_4
OpenAI.gpt_4_scratchpad_with_freeze_values,567,256,0.13936418757208532,0.14054790361093475,-0.15483752634480255,0.07437581353106693,logit,1.6300491765460672,0.0016102696620595516,OpenAI.gpt_4
OpenAI.gpt_4_turbo_0409_scratchpad,567,256,0.1510701058201058,0.21244561170564374,0.09703705057179705,0.16976039143291463,logit,1.4151427703013202,0.00019060062282040823,OpenAI.gpt_4_turbo_0409
OpenAI.gpt_4_turbo_0409_scratchpad_with_freeze_values,567,256,0.11269696306749352,0.08937052982839506,-0.16670803429896155,0.17934212322678042,logit,2.3580841389760407,0.000697869965234484,OpenAI.gpt_4_turbo_0409
OpenAI.gpt_4_turbo_0409_scratchpad_with_news,567,256,0.14469710890652557,0.20321692648906525,0.16804540727076386,0.1981506266668444,logit,1.6593776085961265,0.0006278961831814458,OpenAI.gpt_4_turbo_0409
OpenAI.gpt_4_turbo_0409_scratchpad_with_news_with_freeze_values,567,256,0.12356553154482594,0.12512633124903,-0.06649087610110874,0.13974334177138464,logit,2.1830039877663237,0.00016483859542577324,OpenAI.gpt_4_turbo_0409
OpenAI.gpt_4_turbo_0409_superforecaster_with_news_1,567,256,0.16705563126790124,0.21576598281957673,-0.12564911577309615,0.1669742355604882,logit,1.3681253036965855,0.0005900354671796396,OpenAI.gpt_4_turbo_0409
OpenAI.gpt_4_turbo_0409_superforecaster_with_news_2,567,256,0.20313340463955026,0.25481412891269845,-0.13340902010501218,0.12111931550884844,logit,1.1973937694457295,0.000844954948727116,OpenAI.gpt_4_turbo_0409
OpenAI.gpt_4_turbo_0409_superforecaster_with_news_3,567,256,0.15246703218694882,0.20568027184850088,-0.11162357704942807,0.1942644426887474,logit,1.5595922734623673,0.00026722097672525046,OpenAI.gpt_4_turbo_0409
OpenAI.gpt_4_turbo_0409_zero_shot,567,256,0.1571743657495591,0.20317899402557318,-0.02746403113212579,0.13325794286977694,logit,1.5194773707779374,3.3649257515173975e-05,OpenAI.gpt_4_turbo_0409
OpenAI.gpt_4_turbo_0409_zero_shot_with_freeze_values,567,256,0.11668289002833779,0.08755776040687831,-0.14298425743567222,0.13516576640793293,logit,3.0873110071339434,0.00101256223072364,OpenAI.gpt_4_turbo_0409
OpenAI.gpt_4_zero_shot,567,256,0.19543676543209876,0.2628985759514992,-0.20245796412993217,0.14617631908599146,logit,1.288150870511101,0.0009703341638163345,OpenAI.gpt_4
OpenAI.gpt_4_zero_shot_with_freeze_values,567,256,0.12179198657719426,0.09228517383068782,-0.4088150876362689,0.19715977789935096,logit,3.0784647256612905,0.004819907483437292,OpenAI.gpt_4
OpenAI.gpt_4o_scratchpad,567,256,0.1534202570723104,0.20420177610529103,-0.15216800155978935,0.18587068957901465,logit,1.4827643371811634,0.0005377682572287116,OpenAI.gpt_4o
OpenAI.gpt_4o_scratchpad_with_freeze_values,567,256,0.09988917199358069,0.07495625112751322,-0.12407197178706882,0.1392615771534551,logit,2.9193063277886036,0.0004165796811829525,OpenAI.gpt_4o
OpenAI.gpt_4o_scratchpad_with_news,567,256,0.14915224559082893,0.19341303345696648,-0.01987671586663251,0.13897492595100788,logit,1.5503498910683526,1.5177627954362095e-05,OpenAI.gpt_4o
OpenAI.gpt_4o_scratchpad_with_news_with_freeze_values,567,256,0.11900390755252468,0.0974070294707231,-0.4621524743437437,0.15284299716237593,logit,2.482433259001693,0.005531377492332413,OpenAI.gpt_4o
OpenAI.gpt_4o_superforecaster_with_news_1,567,256,0.15514764291556438,0.19255379115573193,0.03147170527119314,0.12023984094137302,logit,1.3983538330596186,5.8587915957568764e-05,OpenAI.gpt_4o
OpenAI.gpt_4o_superforecaster_with_news_2,567,256,0.19551335768582892,0.23046324213703703,-0.4527209218288177,0.14590711230894066,logit,1.3593150329578527,0.00767821966723224,OpenAI.gpt_4o
OpenAI.gpt_4o_superforecaster_with_news_3,567,256,0.16644515687830688,0.21740904228800706,-0.41166923878595874,0.20454064560655122,logit,1.5066821844161322,0.003977391241575483,OpenAI.gpt_4o
OpenAI.gpt_4o_zero_shot,567,256,0.17434737389770724,0.226363046440388,-0.014730782584968854,0.122953067177422,logit,1.2878719082755554,1.2300591040188543e-05,OpenAI.gpt_4o
OpenAI.gpt_4o_zero_shot_with_freeze_values,567,256,0.15362010999022602,0.12470384036331571,-0.3310767733755387,0.14969314593915506,logit,2.0875973791353974,0.004951263891890613,OpenAI.gpt_4o
Qwen.qwen_1p5_110b_scratchpad,567,256,0.1718424603174603,0.24045386281146386,-0.4252811540055584,0.25179974546022127,logit,1.4642986647240201,0.0026431918077976873,Qwen.qwen_1p5_110b
Qwen.qwen_1p5_110b_scratchpad_with_freeze_values,567,256,0.14917126745842946,0.17222569021516757,-0.2884290819940429,0.1817103734411381,logit,1.9164037777072132,0.0021026412047221964,Qwen.qwen_1p5_110b
Qwen.qwen_1p5_110b_scratchpad_with_news,567,256,0.1897872151675485,0.26256872441216933,-0.325402101696218,0.24520309627865958,logit,1.2922327545674948,0.0018597525366283228,Qwen.qwen_1p5_110b
Qwen.qwen_1p5_110b_scratchpad_with_news_with_freeze_values,567,256,0.1656897512797619,0.20583215623827159,-0.37835759942328473,0.2226656581930806,logit,1.5320857745179668,0.0031460357939706524,Qwen.qwen_1p5_110b
Qwen.qwen_1p5_110b_superforecaster_with_news_1,567,256,0.19351593125661373,0.25021813455537917,-0.13688021837109085,0.13997353587494907,logit,1.1701669270656774,0.0010174685790514766,Qwen.qwen_1p5_110b
Qwen.qwen_1p5_110b_superforecaster_with_news_2,567,256,0.2157854573536949,0.2918559570114639,-0.37134355661697754,0.23553504876945203,logit,1.136164004147546,0.002796277617091949,Qwen.qwen_1p5_110b
Qwen.qwen_1p5_110b_superforecaster_with_news_3,567,256,0.19541894058201062,0.2720690461839506,-0.47683074265975256,0.23545134436245235,logit,1.337485572130349,0.003834692179074655,Qwen.qwen_1p5_110b
Qwen.qwen_1p5_110b_zero_shot,567,256,0.18760074955908293,0.25035060024638445,0.02097706625984773,0.19488133485528236,logit,1.4140635521886766,1.1449032577066795e-05,Qwen.qwen_1p5_110b
Qwen.qwen_1p5_110b_zero_shot_with_freeze_values,567,256,0.1621740165866177,0.16268553448007053,-0.07801560698074042,0.13314684182678857,logit,1.6987015344111456,0.00030190680003001837,Qwen.qwen_1p5_110b
