id,kind,label,domain,confidence,verification_status,fields
n-winner-data-center-developers-with-power-secured-land-9d1fcc54,winner,Data-center developers with power-secured land,AI infrastructure / energy,0.55,derived_from_board,"{""source_thesis"": ""P1"", ""why"": ""They can sell time-to-energize, not square footage.""}"
n-winner-hyperscalers-with-flexible-inference-siting-0745b147,winner,Hyperscalers with flexible inference siting,AI infrastructure / energy,0.55,derived_from_board,"{""source_thesis"": ""P1"", ""why"": ""Inference workloads can move toward power instead of clustering only near legacy hubs.""}"
n-loser-grid-dependent-campus-projects-in-congested-markets-aab89810,loser,Grid-dependent campus projects in congested markets,AI infrastructure / energy,0.55,derived_from_board,"{""source_thesis"": ""P1"", ""why"": ""They face transformer, interconnection, and local consent delays that make announced capacity less real.""}"
n-loser-ai-infrastructure-investors-underwriting-shell-capacity-only-19dd6ae3,loser,AI infrastructure investors underwriting shell capacity only,AI infrastructure / energy,0.55,derived_from_board,"{""source_thesis"": ""P1"", ""why"": ""They risk owning buildings that cannot be energized on the underwriting timeline.""}"
n-constraint-rent-lands-in-developers-and-landowners-with-power-secured-campuses-g-43019856,constraint,"Rent lands in developers and landowners with power-secured campuses, geothermal developers such as Fervo-style EGS operators, and utilities or IPPs that can deliver firm interconnection alternatives. It does not land evenly across data-center real estate.",AI infrastructure / energy,0.55,derived_from_board,"{""source_field"": ""rent_path"", ""source_thesis"": ""P1""}"
n-constraint-the-next-constraint-moves-to-drilling-capacity-high-voltage-equipment-6742ca22,constraint,"The next constraint moves to drilling capacity, high-voltage equipment, water and cooling permits, and local political consent for large loads.",AI infrastructure / energy,0.55,derived_from_board,"{""source_field"": ""next_constraint"", ""source_thesis"": ""P1""}"
n-price-channel-power-secured-land-options-behind-the-meter-ppas-geothermal-develo-8b047c51,price_channel,"Power-secured land options, behind-the-meter PPAs, geothermal development rights, and data-center lease premiums should reprice upward relative to ordinary shells.",AI infrastructure / energy,0.55,derived_from_board,"{""source_field"": ""reprices"", ""source_thesis"": ""P1""}"
n-action-data-center-site-selection-ppa-strategy-power-development-partnerships-ca-8454863b,action,"Data-center site selection, PPA strategy, power-development partnerships, capex phasing, and portfolio exposure to grid-dependent versus power-secured data-center assets.",AI infrastructure / energy,0.55,derived_from_board,"{""source_field"": ""decision_changed"", ""source_thesis"": ""P1""}"
n-action-a-site-that-energizes-12-to-24-months-earlier-can-be-worth-more-than-a-ch-719c385a,action,A site that energizes 12 to 24 months earlier can be worth more than a cheaper site with stranded shells and delayed transformers. The asymmetry is time: idle GPUs and delayed leases burn capital while power-secured campuses monetize demand.,AI infrastructure / energy,0.55,derived_from_board,"{""source_field"": ""roi_logic"", ""source_thesis"": ""P1""}"
n-forecast-clause-the-ai-frontier-moves-from-model-access-to-firm-power-siting-94c415a1,forecast_clause,The AI frontier moves from model access to firm-power siting.,AI infrastructure / energy,0.85,derived_from_board,"{""resolves"": ""2028-12-31"", ""source_thesis"": ""P1""}"
n-thesis-p2-physical-ai-s-bottleneck-is-certified-deployment-not-robot-bodies-1a122ecc,thesis,"P2: Physical AI's bottleneck is certified deployment, not robot bodies.",robotics / industrial automation,0.8,derived_from_board,"{""pre_consensus"": ""Capital chases the robot OEM narrative. Buyers pay for productive hours, uptime, and safety sign-off. The pre-consensus layer is that task deployment and validation become separately priced software/services, not just bundled OEM support."", ""structural"": ""Humanoid and industrial robot pilots are moving toward early commercial deployment, especially in automotive and logistics, but every physical deployment has to cross a hard boundary: task data, safety, uptime, workcell integration, maintenance, and liability. NVIDIA is explicitly pushing world models, Isaac Sim, Isaac Lab, Cosmos, and GR00T as simulation and validation infrastructure. IDTechEx's humanoid materials and robotics coverage highlights tactile sensors, training data, software, simulation, and component bottlenecks. The body is visible; the deployable task stack is the constraint."", ""thesis_id"": ""P2"", ""why"": ""Robots do not sell as intelligence; they sell as safe, repeatable labor hours. The scarce layer is the proof that a robot can do the task in a customer's messy environment without breaking the line, hurting someone, or requiring heroic integration labor.""}"
n-constraint-verified-task-data-sim-to-real-validation-workcell-commissioning-safe-1f01fc96,constraint,"Verified task data, sim-to-real validation, workcell commissioning, safety certification, and field support for physical AI in factories and warehouses.",robotics / industrial automation,0.7,derived_from_board,"{""source_thesis"": ""P2""}"
n-metric-track-robot-oems-or-large-integrators-selling-task-libraries-simulation-v-3d361480,metric,"Track robot OEMs or large integrators selling task libraries, simulation validation, or commissioning layers as separate line items; track public claims of 40 percent plus cuts in commissioning time; track safety certification language in physical-AI deployments.",robotics / industrial automation,0.75,derived_from_board,"{""source_thesis"": ""P2""}"
n-kill-condition-kill-if-by-end-2028-humanoid-or-mobile-manipulation-deployments-s-775de1ac,kill_condition,"Kill if by end 2028 humanoid or mobile manipulation deployments scale mainly through turnkey robot hardware with little separate pricing for task validation, commissioning software, or safety case tooling.",robotics / industrial automation,0.8,derived_from_board,"{""source_thesis"": ""P2""}"
n-price-channel-robotics-platform-hype-is-visible-in-private-valuations-and-public-0bf2bb56,price_channel,"Robotics platform hype is visible in private valuations and public AI narratives. The narrower deployment-layer thesis is less directly priced because the value sits inside integration contracts, simulation tools, safety cases, and task libraries rather than a clean public instrument.",robotics / industrial automation,0.65,derived_from_board,"{""source_thesis"": ""P2""}"
n-buyer-segment-manufacturing-coos-logistics-operators-industrial-automation-integ-82ce522a,buyer_segment,"Manufacturing COOs, logistics operators, industrial automation integrators, robot OEMs, and investors in physical AI companies.",robotics / industrial automation,0.65,derived_from_board,"{""source_thesis"": ""P2""}"
n-action-inventory-repeatable-tasks-by-commissioning-burden-and-safety-risk-struct-8215d5fd,action,"Inventory repeatable tasks by commissioning burden and safety risk; structure pilots around validated productive hours and time-to-commission, not robot count or demo quality.",robotics / industrial automation,0.65,derived_from_board,"{""source_thesis"": ""P2""}"
n-observable-a-major-automotive-or-logistics-deployment-where-the-press-release-na-fbf34b88,observable,"A major automotive or logistics deployment where the press release names the validation, simulation, or task-library layer as the reason the rollout scaled.",robotics / industrial automation,0.7,derived_from_board,"{""source_thesis"": ""P2""}"
n-winner-nvidia-isaac-cosmos-style-simulation-ecosystems-80c6301a,winner,NVIDIA Isaac/Cosmos-style simulation ecosystems,robotics / industrial automation,0.55,derived_from_board,"{""source_thesis"": ""P2"", ""why"": ""They sit in the validation path between robot policy training and real-world deployment.""}"
n-winner-industrial-integrators-with-reusable-task-libraries-b6716709,winner,Industrial integrators with reusable task libraries,robotics / industrial automation,0.55,derived_from_board,"{""source_thesis"": ""P2"", ""why"": ""They turn one-off commissioning labor into repeatable software-enabled deployment.""}"
n-winner-manufacturers-with-clean-process-data-and-standardized-workcells-c37f1096,winner,Manufacturers with clean process data and standardized workcells,robotics / industrial automation,0.55,derived_from_board,"{""source_thesis"": ""P2"", ""why"": ""They become easier customers and capture automation ROI earlier.""}"
n-loser-undifferentiated-humanoid-oems-0d07ea65,loser,Undifferentiated humanoid OEMs,robotics / industrial automation,0.55,derived_from_board,"{""source_thesis"": ""P2"", ""why"": ""Hardware demos do not create durable margin if deployment assurance is owned elsewhere.""}"
n-loser-custom-only-automation-integrators-72a805b5,loser,Custom-only automation integrators,robotics / industrial automation,0.55,derived_from_board,"{""source_thesis"": ""P2"", ""why"": ""Reusable task libraries and simulation reduce the value of bespoke labor.""}"
n-constraint-rent-flows-to-simulation-and-validation-platforms-robot-integrators-w-ee2a77d2,constraint,"Rent flows to simulation and validation platforms, robot integrators with reusable task libraries, and OEMs that can prove uptime and safety. Commodity bodies get squeezed unless they own the deployment layer.",robotics / industrial automation,0.55,derived_from_board,"{""source_field"": ""rent_path"", ""source_thesis"": ""P2""}"
n-constraint-the-next-constraint-becomes-high-quality-real-world-task-data-tactile-762add0c,constraint,"The next constraint becomes high-quality real-world task data, tactile sensing, safety certification labor, and maintenance networks.",robotics / industrial automation,0.55,derived_from_board,"{""source_field"": ""next_constraint"", ""source_thesis"": ""P2""}"
n-price-channel-physical-ai-valuation-should-migrate-from-unit-shipments-to-deploy-e5cd43e2,price_channel,"Physical-AI valuation should migrate from unit shipments to deployment software attach rate, commissioning margin, and validated task-hour economics.",robotics / industrial automation,0.55,derived_from_board,"{""source_field"": ""reprices"", ""source_thesis"": ""P2""}"
n-action-automation-capex-integrator-selection-pilot-design-safety-certification-b-7942dd95,action,"Automation capex, integrator selection, pilot design, safety certification budgets, and whether to invest in robot OEMs or deployment-layer tooling.",robotics / industrial automation,0.55,derived_from_board,"{""source_field"": ""decision_changed"", ""source_thesis"": ""P2""}"
n-action-a-robot-that-takes-six-months-of-integration-labor-to-deliver-a-narrow-ta-0676de7c,action,A robot that takes six months of integration labor to deliver a narrow task has poor ROI even if the body is cheap. Deployment tooling pays by converting demos into billable productive hours faster.,robotics / industrial automation,0.55,derived_from_board,"{""source_field"": ""roi_logic"", ""source_thesis"": ""P2""}"
n-forecast-clause-physical-ai-s-bottleneck-is-certified-deployment-not-robot-bodie-5d45981f,forecast_clause,"Physical AI's bottleneck is certified deployment, not robot bodies.",robotics / industrial automation,0.85,derived_from_board,"{""resolves"": ""2028-12-31"", ""source_thesis"": ""P2""}"
n-thesis-p3-autonomous-science-shifts-the-bottleneck-from-model-discovery-to-exper-2d0ad3e9,thesis,P3: Autonomous science shifts the bottleneck from model discovery to experimental throughput.,autonomous science / biotech / materials,0.8,derived_from_board,"{""pre_consensus"": ""AI-for-science narratives still reward model papers and discovery claims. The more durable bottleneck is boring: the labs, assays, protocols, and reference data that make closed-loop discovery trustworthy."", ""structural"": ""AI can propose experiments faster than labs can run, measure, standardize, and trust them. DOE's 2026 robotics and automation testbed call for autonomous scientific discovery points to the institutionalization of this bottleneck, with expected awards of 3 to 5 million dollars per year. The binding input is not another model; it is reliable experiment generation, instrument uptime, assay reproducibility, and machine-readable provenance."", ""thesis_id"": ""P3"", ""why"": ""Discovery systems learn from measurements. If measurements are slow, noisy, unstandardized, or untrusted, model quality cannot compound. The valuable asset becomes the loop, not the idea generator.""}"
n-constraint-robotic-experimental-throughput-with-standardized-metadata-reliable-a-6881a685,constraint,"Robotic experimental throughput with standardized metadata, reliable assays, calibrated uncertainty, and provenance that lets models learn from results without poisoning the loop.",autonomous science / biotech / materials,0.7,derived_from_board,"{""source_thesis"": ""P3""}"
n-metric-track-doe-and-national-lab-testbed-awards-pharma-materials-partnerships-t-629546ac,metric,"Track DOE and national-lab testbed awards, pharma/materials partnerships that buy autonomous lab capacity, assay throughput per researcher, and publications where the bottleneck is experiment generation rather than model inference.",autonomous science / biotech / materials,0.75,derived_from_board,"{""source_thesis"": ""P3""}"
n-kill-condition-kill-if-by-2029-model-only-ai-discovery-companies-repeatedly-prod-e47c136a,kill_condition,Kill if by 2029 model-only AI discovery companies repeatedly produce commercially validated materials or therapies without materially expanding wet-lab or physical-test throughput.,autonomous science / biotech / materials,0.8,derived_from_board,"{""source_thesis"": ""P3""}"
n-price-channel-self-driving-lab-companies-and-lab-automation-vendors-are-funded-b-bd615cc4,price_channel,"Self-driving lab companies and lab automation vendors are funded, but the market has not cleanly priced experimental throughput as the scarce asset under model-driven discovery. Much of the value sits inside R&D budgets, national labs, and pharma partnerships.",autonomous science / biotech / materials,0.65,derived_from_board,"{""source_thesis"": ""P3""}"
n-buyer-segment-pharma-r-d-leaders-materials-companies-national-labs-ai-for-scienc-1eecff3d,buyer_segment,"Pharma R&D leaders, materials companies, national labs, AI-for-science founders, and investors underwriting discovery platforms.",autonomous science / biotech / materials,0.65,derived_from_board,"{""source_thesis"": ""P3""}"
n-action-audit-which-discovery-programs-are-experiment-limited-secure-access-to-ro-d84da1e0,action,"Audit which discovery programs are experiment-limited; secure access to robotic testbeds, assay vendors, and metadata/provenance infrastructure before model-generated proposal volume spikes.",autonomous science / biotech / materials,0.65,derived_from_board,"{""source_thesis"": ""P3""}"
n-observable-a-major-pharma-chemicals-or-materials-company-publicly-saying-its-ai-185fa04e,observable,"A major pharma, chemicals, or materials company publicly saying its AI discovery bottleneck is lab throughput or assay availability, not model quality.",autonomous science / biotech / materials,0.7,derived_from_board,"{""source_thesis"": ""P3""}"
n-winner-doe-and-national-lab-testbed-ecosystems-365a0451,winner,DOE and national lab testbed ecosystems,autonomous science / biotech / materials,0.55,derived_from_board,"{""source_thesis"": ""P3"", ""why"": ""They become shared infrastructure for autonomous discovery workflows.""}"
n-winner-autonomous-lab-operators-and-assay-platforms-3d1656dc,winner,Autonomous lab operators and assay platforms,autonomous science / biotech / materials,0.55,derived_from_board,"{""source_thesis"": ""P3"", ""why"": ""They own the throughput and data rights needed to make AI-for-science real.""}"
n-winner-r-d-teams-with-strong-metadata-discipline-c928f7ca,winner,R&D teams with strong metadata discipline,autonomous science / biotech / materials,0.55,derived_from_board,"{""source_thesis"": ""P3"", ""why"": ""Their experiments become reusable training signal instead of isolated results.""}"
n-loser-model-only-discovery-startups-a40e7af2,loser,Model-only discovery startups,autonomous science / biotech / materials,0.55,derived_from_board,"{""source_thesis"": ""P3"", ""why"": ""They can propose more than they can validate, making their output easy to discount.""}"
n-loser-manual-cros-without-automation-or-data-standardization-e3e6bd2c,loser,Manual CROs without automation or data standardization,autonomous science / biotech / materials,0.55,derived_from_board,"{""source_thesis"": ""P3"", ""why"": ""They provide services but not compounding machine-readable learning loops.""}"
n-constraint-rent-lands-in-autonomous-lab-operators-instrument-integration-platfor-93004089,constraint,"Rent lands in autonomous lab operators, instrument integration platforms, assay providers, and organizations with high-quality closed-loop experimental datasets.",autonomous science / biotech / materials,0.55,derived_from_board,"{""source_field"": ""rent_path"", ""source_thesis"": ""P3""}"
n-constraint-the-next-constraint-becomes-sample-preparation-protocol-ontologies-in-913a3e9f,constraint,"The next constraint becomes sample preparation, protocol ontologies, instrument interoperability, and rights to high-quality negative results.",autonomous science / biotech / materials,0.55,derived_from_board,"{""source_field"": ""next_constraint"", ""source_thesis"": ""P3""}"
n-price-channel-autonomous-lab-capacity-assay-contracts-and-proprietary-experiment-48e60072,price_channel,"Autonomous lab capacity, assay contracts, and proprietary experimental datasets should command higher strategic value than generic AI-for-science claims.",autonomous science / biotech / materials,0.55,derived_from_board,"{""source_field"": ""reprices"", ""source_thesis"": ""P3""}"
n-action-r-d-budget-allocation-between-foundation-models-lab-automation-assay-capa-3cfb3627,action,"R&D budget allocation between foundation models, lab automation, assay capacity, data infrastructure, and strategic partnerships.",autonomous science / biotech / materials,0.55,derived_from_board,"{""source_field"": ""decision_changed"", ""source_thesis"": ""P3""}"
n-action-a-better-model-has-low-roi-if-every-validation-loop-takes-months-shorteni-97d0d5be,action,A better model has low ROI if every validation loop takes months. Shortening the experiment loop compounds across the entire discovery funnel and creates proprietary datasets competitors cannot scrape.,autonomous science / biotech / materials,0.55,derived_from_board,"{""source_field"": ""roi_logic"", ""source_thesis"": ""P3""}"
n-forecast-clause-autonomous-science-shifts-the-bottleneck-from-model-discovery-to-60c389a9,forecast_clause,Autonomous science shifts the bottleneck from model discovery to experimental throughput.,autonomous science / biotech / materials,0.85,derived_from_board,"{""resolves"": ""2029-12-31"", ""source_thesis"": ""P3""}"
n-thesis-p4-the-consumer-ai-interface-moves-to-always-on-edge-devices-gated-by-the-e6198427,thesis,"P4: The consumer AI interface moves to always-on edge devices, gated by thermals, battery, sensors, and privacy.",edge AI / consumer hardware,0.8,derived_from_board,"{""pre_consensus"": ""The market understands on-device AI in broad terms. The narrower call is that the winning interface is not a standalone AI gadget, but an always-on sensor-rich device layer where privacy, power, and context are the differentiators."", ""structural"": ""The next interface cannot rely on sending every private, continuous, multimodal signal to the cloud. Mordor estimates the edge AI hardware market at 30.74 billion dollars in 2026 and 68.73 billion dollars by 2031. Qualcomm's 2026 Snapdragon Wear Elite announcement explicitly frames wearables as personal AI devices with on-device NPUs, sensor fusion, always-on context, and partners including Google, Motorola, and Samsung. The hard part is not fitting a toy model on device; it is making the device always available without killing battery, privacy, thermals, or trust."", ""thesis_id"": ""P4"", ""why"": ""The next UI for AI is context. Context lives near sensors, bodies, homes, and vehicles. Cloud-only agents lack the continuous private state needed to be useful, while device-only systems fail unless power and thermals work.""}"
n-constraint-low-power-npus-sensor-fusion-local-memory-privacy-preserving-orchestr-5b1cd0e2,constraint,"Low-power NPUs, sensor fusion, local memory, privacy-preserving orchestration, and thermal envelopes for always-on personal AI.",edge AI / consumer hardware,0.7,derived_from_board,"{""source_thesis"": ""P4""}"
n-metric-track-commercial-devices-that-run-billion-parameter-local-models-all-day-cdb6953f,metric,"Track commercial devices that run billion-parameter local models, all-day context capture, or private agentic features on wearables/glasses/phones; track battery complaints, thermal throttling, and local AI developer APIs.",edge AI / consumer hardware,0.75,derived_from_board,"{""source_thesis"": ""P4""}"
n-kill-condition-kill-if-by-end-2028-the-dominant-consumer-ai-usage-remains-cloud-08a46625,kill_condition,"Kill if by end 2028 the dominant consumer AI usage remains cloud-chat inside phones and browsers, with wearables and glasses failing to show persistent local context as a major usage mode.",edge AI / consumer hardware,0.8,derived_from_board,"{""source_thesis"": ""P4""}"
n-price-channel-chip-and-device-companies-are-announcing-edge-ai-features-the-resi-1a88b543,price_channel,"Chip and device companies are announcing edge AI features. The residual edge is the constraint stack: battery life, local memory, secure sensor fusion, and developer access to context without leaking user trust.",edge AI / consumer hardware,0.65,derived_from_board,"{""source_thesis"": ""P4""}"
n-buyer-segment-device-oems-chip-vendors-mobile-os-teams-consumer-ai-app-developer-83d76c60,buyer_segment,"Device OEMs, chip vendors, mobile OS teams, consumer AI app developers, regulated enterprise buyers, and privacy/security teams.",edge AI / consumer hardware,0.65,derived_from_board,"{""source_thesis"": ""P4""}"
n-action-design-around-local-context-and-power-budgets-build-features-that-improve-e84292d2,action,Design around local context and power budgets; build features that improve when personal data stays on device instead of depending on generic cloud memory.,edge AI / consumer hardware,0.65,derived_from_board,"{""source_thesis"": ""P4""}"
n-observable-a-google-samsung-apple-or-meta-product-launch-where-the-lead-ai-featu-64a8aa4d,observable,"A Google, Samsung, Apple, or Meta product launch where the lead AI feature runs persistently on device and is marketed around private context rather than a bigger cloud model.",edge AI / consumer hardware,0.7,derived_from_board,"{""source_thesis"": ""P4""}"
n-winner-qualcomm-apple-samsung-and-other-integrated-edge-ai-silicon-device-player-2ddc356e,winner,"Qualcomm, Apple, Samsung, and other integrated edge-AI silicon/device players",edge AI / consumer hardware,0.55,derived_from_board,"{""source_thesis"": ""P4"", ""why"": ""They control the NPU, sensors, battery envelope, and developer surfaces.""}"
n-winner-privacy-preserving-local-agent-platforms-02e04d29,winner,Privacy-preserving local agent platforms,edge AI / consumer hardware,0.55,derived_from_board,"{""source_thesis"": ""P4"", ""why"": ""They can access sensitive context without forcing everything into cloud logs.""}"
n-winner-apps-with-daily-personal-context-loops-64547f6a,winner,Apps with daily personal context loops,edge AI / consumer hardware,0.55,derived_from_board,"{""source_thesis"": ""P4"", ""why"": ""Health, mobility, work, and communication features improve with persistent local state.""}"
n-loser-cloud-only-personal-assistant-apps-280597af,loser,Cloud-only personal assistant apps,edge AI / consumer hardware,0.55,derived_from_board,"{""source_thesis"": ""P4"", ""why"": ""They lack trusted continuous context and face rising privacy friction.""}"
n-loser-low-end-device-makers-without-npu-or-sensor-fusion-capability-91e3c771,loser,Low-end device makers without NPU or sensor-fusion capability,edge AI / consumer hardware,0.55,derived_from_board,"{""source_thesis"": ""P4"", ""why"": ""They cannot support the local features users come to expect.""}"
n-constraint-rent-lands-in-chip-vendors-with-efficient-npus-oems-with-integrated-s-638a9701,constraint,"Rent lands in chip vendors with efficient NPUs, OEMs with integrated sensor stacks, OS owners with trusted permission models, and apps that turn local context into recurring utility.",edge AI / consumer hardware,0.55,derived_from_board,"{""source_field"": ""rent_path"", ""source_thesis"": ""P4""}"
n-constraint-the-next-constraint-becomes-developer-access-to-local-context-without-06ac4d5a,constraint,"The next constraint becomes developer access to local context without privacy collapse, plus energy-efficient multimodal inference.",edge AI / consumer hardware,0.55,derived_from_board,"{""source_field"": ""next_constraint"", ""source_thesis"": ""P4""}"
n-price-channel-npu-rich-device-boms-sensor-vendors-secure-local-memory-and-os-lev-18ff8362,price_channel,"NPU-rich device BOMs, sensor vendors, secure local memory, and OS-level permission surfaces should reprice relative to generic chatbot app layers.",edge AI / consumer hardware,0.55,derived_from_board,"{""source_field"": ""reprices"", ""source_thesis"": ""P4""}"
n-action-hardware-roadmap-npu-vendor-selection-app-architecture-privacy-posture-an-a5a169c1,action,"Hardware roadmap, NPU vendor selection, app architecture, privacy posture, and whether to build for cloud-first chat or local context surfaces.",edge AI / consumer hardware,0.55,derived_from_board,"{""source_field"": ""decision_changed"", ""source_thesis"": ""P4""}"
n-action-always-on-local-context-can-raise-retention-and-trust-while-cloud-only-in-5fe9dee4,action,"Always-on local context can raise retention and trust, while cloud-only interfaces compete on commoditized model access. Battery and privacy are the cost of admission.",edge AI / consumer hardware,0.55,derived_from_board,"{""source_field"": ""roi_logic"", ""source_thesis"": ""P4""}"
n-forecast-clause-the-consumer-ai-interface-moves-to-always-on-edge-devices-gated-bd117153,forecast_clause,"The consumer AI interface moves to always-on edge devices, gated by thermals, battery, sensors, and privacy.",edge AI / consumer hardware,0.85,derived_from_board,"{""resolves"": ""2028-12-31"", ""source_thesis"": ""P4""}"
n-thesis-p5-biomanufacturing-s-bottleneck-is-scale-up-not-ai-organism-design-fdaccd13,thesis,"P5: Biomanufacturing's bottleneck is scale-up, not AI organism design.",industrial biotech / biomanufacturing,0.8,derived_from_board,"{""pre_consensus"": ""AI-bio narratives reward discovery speed and design quality. The underpriced layer is the boring industrial bridge from bench to tons: COGS, contamination, yield under real feedstocks, purification, regulatory proof, and buyer qualification."", ""structural"": ""AI and metabolic engineering can generate more candidate organisms and pathways, but industrial deployment still runs through strain robustness, fermentation, downstream purification, feedstock economics, QA, and price parity. Nature Communications noted in 2026 that large-scale commercialization remains limited despite systems metabolic engineering progress, highlighting the persistent gap between lab success and industrial deployment. The model proposes; the plant decides."", ""thesis_id"": ""P5"", ""why"": ""A thousand plausible organisms do not equal one profitable plant. The constraint migrates from search to industrialization once AI makes search cheaper.""}"
n-constraint-pilot-and-commercial-scale-fermentation-downstream-processing-strain-787e5b3c,constraint,"Pilot and commercial-scale fermentation, downstream processing, strain robustness, feedstock flexibility, QA systems, and process-development talent.",industrial biotech / biomanufacturing,0.7,derived_from_board,"{""source_thesis"": ""P5""}"
n-metric-track-ai-designed-or-engineered-bio-products-that-fail-or-delay-on-cogs-a-e2bd431f,metric,"Track AI-designed or engineered bio-products that fail or delay on COGS and scale-up; track pilot fermentation capacity, downstream bottlenecks, and offtake contracts tied to price parity rather than sustainability premium.",industrial biotech / biomanufacturing,0.75,derived_from_board,"{""source_thesis"": ""P5""}"
n-kill-condition-kill-if-by-2030-multiple-ai-designed-industrial-bio-products-reac-ac6e6352,kill_condition,"Kill if by 2030 multiple AI-designed industrial bio-products reach commodity-relevant scale and price parity without scarce pilot capacity, downstream processing, or process-development labor becoming a public bottleneck.",industrial biotech / biomanufacturing,0.8,derived_from_board,"{""source_thesis"": ""P5""}"
n-price-channel-biomanufacturing-capacity-and-cdmo-services-are-visible-but-scale-f4411b7f,price_channel,"Biomanufacturing capacity and CDMO services are visible, but scale-up bottlenecks are not cleanly priced as the scarce input under AI-designed biology. Many private AI-bio valuations still lean on discovery rather than manufacturability.",industrial biotech / biomanufacturing,0.65,derived_from_board,"{""source_thesis"": ""P5""}"
n-buyer-segment-industrial-biotech-founders-chemicals-strategics-food-and-material-e3eac0ee,buyer_segment,"Industrial biotech founders, chemicals strategics, food and materials companies, climate-tech investors, and CDMOs.",industrial biotech / biomanufacturing,0.65,derived_from_board,"{""source_thesis"": ""P5""}"
n-action-underwrite-ai-bio-companies-on-scale-up-evidence-cogs-path-downstream-pro-df763145,action,"Underwrite AI-bio companies on scale-up evidence, COGS path, downstream process, feedstock contracts, and pilot capacity access before valuing design claims.",industrial biotech / biomanufacturing,0.65,derived_from_board,"{""source_thesis"": ""P5""}"
