thesis_id,packet_id,kind,task,truth_floor,first_query,source_priority,required_fields,status
P4,P4-interconnection_power,interconnection_power,A site-by-site power realism table for time-to-energize.,primary_verified,"""data center"" ""behind-the-meter"" ""Accelerated lifetime testing, reliability statistics, standardized qualification data, critically evaluated""","PJM, ERCOT, MISO, CAISO, SPP, NYISO, ISO-NE queue; utility interconnection filing; county planning and zoning agenda",site_or_project; utility_or_iso; queue_position_or_docket; mw; expected_in_service_date; behind_the_meter_claim; transformer_or_switchgear_dependency; water_or_cooling_permit; source_url,unverified
P4,P4-experimental_throughput,experimental_throughput,An experimental-throughput map with who owns the bottleneck and what to fund.,primary_verified,"""self-driving lab"" ""Accelerated lifetime testing, reliability statistics, standardized qualification data, critically evaluated"" grant","NIH, NSF, DOE, CORDIS, or SBIR award; lab automation vendor page; university lab page",assay_or_instrument; lab_or_company; throughput_metric; bottleneck_step; data_rights; grant_or_publication; public_contact_path,unverified
P5,P5-permit_docket,permit_docket,A table of named permits/dockets with current status and next check date.,primary_verified,"""AI-resilient sequence and function screening, customer verification, benchtop synthesizer access"" ""biosecurity / synthetic biology / access control"" permit docket",county or municipal planning agenda; state public utility commission docket; FERC eLibrary or federal docket,permit_or_docket_name; jurisdiction; applicant; project_or_asset; status; filed_date; next_hearing_or_deadline; capacity_or_scope; source_url; quote_or_table_row,unverified
P5,P5-project_asset,project_asset,A ranked map of named projects/assets with why each matters to the constraint.,primary_verified,"""AI-resilient sequence and function screening, customer verification, benchtop synthesizer access"" ""biosecurity / synthetic biology / access control"" project",official project page; developer announcement; permit filing,project_name; asset_owner; location; capacity_or_volume; timeline; constraint_link; commercial_status; source_url; quote_or_table_row,unverified
P5,P5-company_supplier,company_supplier,"A counterparty table with role, proof, and public contact path.",primary_verified,"""AI-resilient sequence and function screening, customer verification, benchtop synthesizer access"" supplier company","official company page; 10-K, S-1, 8-K, annual report, or statutory filing; procurement portal",organization; role; evidence_of_role; product_or_asset; buyer_or_supplier_link; public_contact_path; source_url; quote_or_table_row,unverified
P5,P5-research_lab,research_lab,A lab map with named people or groups and what question to ask them.,primary_verified,"""AI-resilient sequence and function screening, customer verification, benchtop synthesizer access"" university lab","university lab page; grant award database; OpenAlex, Crossref, PubMed, arXiv, or patent record",institution; lab_or_center; principal_investigator_or_team; research_topic; grant_or_publication; evidence_span; public_contact_path; source_url,unverified
P5,P5-person_contact,person_contact,"A public-contact task list with question scripts, not guessed emails.",contact_confirmed,"""AI-resilient sequence and function screening, customer verification, benchtop synthesizer access"" ""biosecurity / synthetic biology / access control"" ""vice president"" OR director",official leadership page; public agency staff directory; university directory,person_or_role; organization; why_relevant; authority_or_expertise; public_contact_path; contact_source_url; do_not_guess_email,unverified
P5,P5-capital_operation,capital_operation,"A trancheable action memo with amount, trigger, owner, ROI logic, and stop condition.",primary_verified,"""AI-resilient sequence and function screening, customer verification, benchtop synthesizer access"" cost per MW OR capex OR contract",vendor quote or rate card; filing with capex or contract data; public procurement award,action; amount_range; unit_cost_basis; counterparty_or_asset; first_tranche_trigger; next_tranche_trigger; expected_roi_or_loss_avoided; reversibility; kill_condition; owner; source_url,unverified
P5,P5-watch_signal,watch_signal,"A monitoring table with cadence, threshold, and escalation rule.",primary_verified,"""Binding US, EU, or OECD screening rules that go beyond simple sequence-identity"" data source",official time series; permit docket updates; interconnection queue,signal; source; cadence; threshold; owner; escalation_rule; kill_or_premise_void; source_url,unverified
P6,P6-permit_docket,permit_docket,A table of named permits/dockets with current status and next check date.,primary_verified,"""Human perturbation atlases in organoids, primary cells, disease-relevant tissue, spatial"" ""biology / pharma / causal data"" permit docket",county or municipal planning agenda; state public utility commission docket; FERC eLibrary or federal docket,permit_or_docket_name; jurisdiction; applicant; project_or_asset; status; filed_date; next_hearing_or_deadline; capacity_or_scope; source_url; quote_or_table_row,unverified
P6,P6-project_asset,project_asset,A ranked map of named projects/assets with why each matters to the constraint.,primary_verified,"""Human perturbation atlases in organoids, primary cells, disease-relevant tissue, spatial"" ""biology / pharma / causal data"" project",official project page; developer announcement; permit filing,project_name; asset_owner; location; capacity_or_volume; timeline; constraint_link; commercial_status; source_url; quote_or_table_row,unverified
P6,P6-company_supplier,company_supplier,"A counterparty table with role, proof, and public contact path.",primary_verified,"""Human perturbation atlases in organoids, primary cells, disease-relevant tissue, spatial"" supplier company","official company page; 10-K, S-1, 8-K, annual report, or statutory filing; procurement portal",organization; role; evidence_of_role; product_or_asset; buyer_or_supplier_link; public_contact_path; source_url; quote_or_table_row,unverified
P6,P6-research_lab,research_lab,A lab map with named people or groups and what question to ask them.,primary_verified,"""Human perturbation atlases in organoids, primary cells, disease-relevant tissue, spatial"" university lab","university lab page; grant award database; OpenAlex, Crossref, PubMed, arXiv, or patent record",institution; lab_or_center; principal_investigator_or_team; research_topic; grant_or_publication; evidence_span; public_contact_path; source_url,unverified
P6,P6-person_contact,person_contact,"A public-contact task list with question scripts, not guessed emails.",contact_confirmed,"""Human perturbation atlases in organoids, primary cells, disease-relevant tissue, spatial"" ""biology / pharma / causal data"" ""vice president"" OR director",official leadership page; public agency staff directory; university directory,person_or_role; organization; why_relevant; authority_or_expertise; public_contact_path; contact_source_url; do_not_guess_email,unverified
P6,P6-capital_operation,capital_operation,"A trancheable action memo with amount, trigger, owner, ROI logic, and stop condition.",primary_verified,"""Human perturbation atlases in organoids, primary cells, disease-relevant tissue, spatial"" cost per MW OR capex OR contract",vendor quote or rate card; filing with capex or contract data; public procurement award,action; amount_range; unit_cost_basis; counterparty_or_asset; first_tranche_trigger; next_tranche_trigger; expected_roi_or_loss_avoided; reversibility; kill_condition; owner; source_url,unverified
P6,P6-watch_signal,watch_signal,"A monitoring table with cadence, threshold, and escalation rule.",primary_verified,"""Top-20 pharma or mega-biotech deals above $500 million that explicitly center proprietary"" data source",official time series; permit docket updates; interconnection queue,signal; source; cadence; threshold; owner; escalation_rule; kill_or_premise_void; source_url,unverified
P6,P6-experimental_throughput,experimental_throughput,An experimental-throughput map with who owns the bottleneck and what to fund.,primary_verified,"""self-driving lab"" ""Human perturbation atlases in organoids, primary cells, disease-relevant tissue, spatial"" grant","NIH, NSF, DOE, CORDIS, or SBIR award; lab automation vendor page; university lab page",assay_or_instrument; lab_or_company; throughput_metric; bottleneck_step; data_rights; grant_or_publication; public_contact_path,unverified
P7,P7-permit_docket,permit_docket,A table of named permits/dockets with current status and next check date.,primary_verified,"""Dynamic load models, EMT-grade studies, ride-through commitments, grid-forming inverters, battery"" ""energy / data centers / grid stability"" permit docket",county or municipal planning agenda; state public utility commission docket; FERC eLibrary or federal docket,permit_or_docket_name; jurisdiction; applicant; project_or_asset; status; filed_date; next_hearing_or_deadline; capacity_or_scope; source_url; quote_or_table_row,unverified
P7,P7-project_asset,project_asset,A ranked map of named projects/assets with why each matters to the constraint.,primary_verified,"""Dynamic load models, EMT-grade studies, ride-through commitments, grid-forming inverters, battery"" ""energy / data centers / grid stability"" project",official project page; developer announcement; permit filing,project_name; asset_owner; location; capacity_or_volume; timeline; constraint_link; commercial_status; source_url; quote_or_table_row,unverified
P7,P7-company_supplier,company_supplier,"A counterparty table with role, proof, and public contact path.",primary_verified,"""Dynamic load models, EMT-grade studies, ride-through commitments, grid-forming inverters, battery"" supplier company","official company page; 10-K, S-1, 8-K, annual report, or statutory filing; procurement portal",organization; role; evidence_of_role; product_or_asset; buyer_or_supplier_link; public_contact_path; source_url; quote_or_table_row,unverified
P7,P7-research_lab,research_lab,A lab map with named people or groups and what question to ask them.,primary_verified,"""Dynamic load models, EMT-grade studies, ride-through commitments, grid-forming inverters, battery"" university lab","university lab page; grant award database; OpenAlex, Crossref, PubMed, arXiv, or patent record",institution; lab_or_center; principal_investigator_or_team; research_topic; grant_or_publication; evidence_span; public_contact_path; source_url,unverified
P7,P7-person_contact,person_contact,"A public-contact task list with question scripts, not guessed emails.",contact_confirmed,"""Dynamic load models, EMT-grade studies, ride-through commitments, grid-forming inverters, battery"" ""energy / data centers / grid stability"" ""vice president"" OR director",official leadership page; public agency staff directory; university directory,person_or_role; organization; why_relevant; authority_or_expertise; public_contact_path; contact_source_url; do_not_guess_email,unverified
P7,P7-capital_operation,capital_operation,"A trancheable action memo with amount, trigger, owner, ROI logic, and stop condition.",primary_verified,"""Dynamic load models, EMT-grade studies, ride-through commitments, grid-forming inverters, battery"" cost per MW OR capex OR contract",vendor quote or rate card; filing with capex or contract data; public procurement award,action; amount_range; unit_cost_basis; counterparty_or_asset; first_tranche_trigger; next_tranche_trigger; expected_roi_or_loss_avoided; reversibility; kill_condition; owner; source_url,unverified
P7,P7-watch_signal,watch_signal,"A monitoring table with cadence, threshold, and escalation rule.",primary_verified,"""Number of US RTO/ISO regions or NERC/FERC-linked reliability processes requiring large data-center"" data source",official time series; permit docket updates; interconnection queue,signal; source; cadence; threshold; owner; escalation_rule; kill_or_premise_void; source_url,unverified
P7,P7-interconnection_power,interconnection_power,A site-by-site power realism table for time-to-energize.,primary_verified,"""data center"" ""behind-the-meter"" ""Dynamic load models, EMT-grade studies, ride-through commitments, grid-forming inverters, battery""","PJM, ERCOT, MISO, CAISO, SPP, NYISO, ISO-NE queue; utility interconnection filing; county planning and zoning agenda",site_or_project; utility_or_iso; queue_position_or_docket; mw; expected_in_service_date; behind_the_meter_claim; transformer_or_switchgear_dependency; water_or_cooling_permit; source_url,unverified
P8,P8-permit_docket,permit_docket,A table of named permits/dockets with current status and next check date.,primary_verified,"""Legal and physical heat rejection"" ""data-center real estate / cooling / water /"" permit docket",county or municipal planning agenda; state public utility commission docket; FERC eLibrary or federal docket,permit_or_docket_name; jurisdiction; applicant; project_or_asset; status; filed_date; next_hearing_or_deadline; capacity_or_scope; source_url; quote_or_table_row,unverified
P8,P8-project_asset,project_asset,A ranked map of named projects/assets with why each matters to the constraint.,primary_verified,"""Legal and physical heat rejection"" ""data-center real estate / cooling / water /"" project",official project page; developer announcement; permit filing,project_name; asset_owner; location; capacity_or_volume; timeline; constraint_link; commercial_status; source_url; quote_or_table_row,unverified
P8,P8-company_supplier,company_supplier,"A counterparty table with role, proof, and public contact path.",primary_verified,"""Legal and physical heat rejection"" supplier company","official company page; 10-K, S-1, 8-K, annual report, or statutory filing; procurement portal",organization; role; evidence_of_role; product_or_asset; buyer_or_supplier_link; public_contact_path; source_url; quote_or_table_row,unverified
P8,P8-research_lab,research_lab,A lab map with named people or groups and what question to ask them.,primary_verified,"""Legal and physical heat rejection"" university lab","university lab page; grant award database; OpenAlex, Crossref, PubMed, arXiv, or patent record",institution; lab_or_center; principal_investigator_or_team; research_topic; grant_or_publication; evidence_span; public_contact_path; source_url,unverified
P8,P8-person_contact,person_contact,"A public-contact task list with question scripts, not guessed emails.",contact_confirmed,"""Legal and physical heat rejection"" ""data-center real estate / cooling / water /"" ""vice president"" OR director",official leadership page; public agency staff directory; university directory,person_or_role; organization; why_relevant; authority_or_expertise; public_contact_path; contact_source_url; do_not_guess_email,unverified
P8,P8-capital_operation,capital_operation,"A trancheable action memo with amount, trigger, owner, ROI logic, and stop condition.",primary_verified,"""Legal and physical heat rejection"" cost per MW OR capex OR contract",vendor quote or rate card; filing with capex or contract data; public procurement award,action; amount_range; unit_cost_basis; counterparty_or_asset; first_tranche_trigger; next_tranche_trigger; expected_roi_or_loss_avoided; reversibility; kill_condition; owner; source_url,unverified
P8,P8-watch_signal,watch_signal,"A monitoring table with cadence, threshold, and escalation rule.",primary_verified,"""Number of OECD jurisdictions requiring new large data centers to reuse material"" data source",official time series; permit docket updates; interconnection queue,signal; source; cadence; threshold; owner; escalation_rule; kill_or_premise_void; source_url,unverified
P8,P8-interconnection_power,interconnection_power,A site-by-site power realism table for time-to-energize.,primary_verified,"""data center"" ""behind-the-meter"" ""Legal and physical heat rejection""","PJM, ERCOT, MISO, CAISO, SPP, NYISO, ISO-NE queue; utility interconnection filing; county planning and zoning agenda",site_or_project; utility_or_iso; queue_position_or_docket; mw; expected_in_service_date; behind_the_meter_claim; transformer_or_switchgear_dependency; water_or_cooling_permit; source_url,unverified
